"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 25 23:29:59 GMT 2022","Sun Dec 25 23:30:03 GMT 2022","3622","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyHidePassword","Verify the user can hide the password after showing it",""
"passed","Sun Dec 25 23:30:27 GMT 2022","Sun Dec 25 23:30:30 GMT 2022","3288","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPasswordLength","Verify the error message when entering password with a few than 8 characters",""
"passed","Sun Dec 25 23:22:11 GMT 2022","Sun Dec 25 23:22:13 GMT 2022","1851","Surefire suite","Surefire test","tests.VerifyPinTest","tests.VerifyPinTest","verifyResendPinButton","Verify that the resend pin button is clickable",""
"failed","Sun Dec 25 23:30:19 GMT 2022","Sun Dec 25 23:30:23 GMT 2022","3960","Surefire suite","Surefire test","tests.PasswordTest","tests.PasswordTest","verifyTheInValidPassword","Verify the error message when entering invalid password",""
"broken","Sun Dec 25 23:25:45 GMT 2022","Sun Dec 25 23:26:16 GMT 2022","30582","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyManageUsersUrl","Verify the user is redirected to the Account Details page when clicking on Manage Users button",""
"broken","Sun Dec 25 23:28:05 GMT 2022","Sun Dec 25 23:28:35 GMT 2022","30498","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyOrderNewPolicyWithIrelandProduct","Verify when the user selects the Ireland product is shown successfully",""
"broken","Sun Dec 25 23:25:10 GMT 2022","Sun Dec 25 23:25:41 GMT 2022","30587","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyInvoiceAndPaymentsUrl","Verify the user is redirected to the Invoice Payments page when clicking on Invoice Payments button",""
"passed","Sun Dec 25 23:29:49 GMT 2022","Sun Dec 25 23:29:50 GMT 2022","619","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyPageLogo","Verify that the page Logo is displayed at the page corner",""
"broken","Sun Dec 25 23:31:21 GMT 2022","Sun Dec 25 23:31:53 GMT 2022","31581","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","loginWithNotExistEmail","Verify the login with not exist email address",""
"failed","Sun Dec 25 23:25:06 GMT 2022","Sun Dec 25 23:25:06 GMT 2022","179","Surefire suite","Surefire test","tests.HomeScreenTest","tests.HomeScreenTest","verifyHomePageUrl","Verify the user is on the Home page",""
